id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Cążki gumowe do formowania kerawaxu,Cążki gumowe do formowania kerawaxu,28,,,"48,78",,,,,,,akcesoria
,Cążki metalowe do formowania kerawaxu,Cążki metalowe do formowania kerawaxu,85,,,"121,95",,,,,,,akcesoria
,Cążki do obcinania końcówek,Cążki do obcinania końcówek,228,,,65,,,,,,,akcesoria
,Cążki do zaciskania mikroringów i tulejek,"Cążki do zaciskania mikroringów i tulejek – żółto, niebieskie",50,,,"9,99",,,,,,,akcesoria
,Cążki do przedłużania włosów,"Cążki do przedłużania włosów – pomarańczowo, niebieskie",2,,,"19,99",,,,,,,akcesoria
,Cążki do zaciskania i otwierania mikroringów,"Cążki do zaciskania i otwierania mikroringów – czerwono, niebieskie",30,,,"14,99",,,,,,,akcesoria
,Cążki gumowe do formowania keratyny,Cążki gumowe do formowania keratyny,23,,,"48,78",,,,,,,akcesoria
,Cążki metalowe do formowania keratyny,Cążki metalowe do formowania keratyny,26,,,"121,95",,,,,,,akcesoria
,Cążki do zakładania i ściągania tulejek,Cążki do zakładania i ściągania tulejek,3,,,150,,,,,,,akcesoria
,"Cążki do zakładania ringów, tulejek","Cążki do zakładania ringów, tulejek",231,,,"16,25",,,,,,,akcesoria
,Cążki Balmain,Cążki Balmain,1,,,110,,,,,,,akcesoria
