id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Klipsy krokodylki,Klipsy krokodylki,94,,,"40,64",,,,,,,akcesoria
,Małe klipsy metalowe,Małe klipsy metalowe,227,,,"1,22",,,,,,,akcesoria
,Uchwyt do kartaczy,Uchwyt do kartaczy,10,,,"8,13",,,,,,,akcesoria
,Peleryna fryzjerska,Peleryna fryzjerska,34,,,35,,,,,,,akcesoria
,Separator na włosy,Separator na włosy biały,12,,,25,,,,,,biały,akcesoria
,Separator do przedłużania włosów,Separator do przedłużania włosów niebieski,92,,,"9,9",,,,,,niebieski,akcesoria
,Klipsy do włosów,Klipsy do włosów 4 sztuki,21,,,12,,,,,,,akcesoria
,Klipsy do włosów,Klipsy do włosów 6 sztuk,78,,,"4,5",,,,,,,akcesoria
,Szydełko drewniane,Szydełko drewniane,12,,,"6,99",,,,,,,akcesoria
,Szydełko złote,Szydełko złote,16,,,"19,99",,,,,,,akcesoria
,Podkładka szablon ochronny,Podkładka szablon ochronny,3839,,,"0,81",,,,,,,akcesoria
,Statyw mały,Statyk mały na główki fryzjerskie,120,,,"19,99",,,,,,,akcesoria
,Główka treningowa,Główka treningowa,57,,,"99,99",,,,,,,akcesoria
