"id","name","content","qty","created_at","updated_at","image__url","image__thumb__url","price_net_buy","price_net_sell","product_index","buy_number","length","gramature","structure","color","product_kind"
"68","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #1","675","2019-07-22T07:54:06.501Z","2019-07-22T07:54:06.501Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#1","włosy"
"69","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #1b","200","2019-07-22T07:54:06.530Z","2019-07-22T07:54:06.530Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#1b","włosy"
"70","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #2","4175","2019-07-22T07:54:06.538Z","2019-07-22T07:54:06.538Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#2","włosy"
"71","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 45, #2","50","2019-07-22T07:54:06.546Z","2019-07-22T07:54:06.546Z","null","null","null","4.46","null","null","45.0","0.5","proste podatne","#2","włosy"
"72","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #4","975","2019-07-22T07:54:06.555Z","2019-07-22T07:54:06.555Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#4","włosy"
"73","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #6","0","2019-07-22T07:54:06.563Z","2019-07-22T07:54:06.563Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#6","włosy"
"74","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #8","2275","2019-07-22T07:54:06.572Z","2019-07-22T07:54:06.572Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#8","włosy"
"75","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #10","100","2019-07-22T07:54:06.580Z","2019-07-22T07:54:06.580Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#10","włosy"
"76","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #12","425","2019-07-22T07:54:06.589Z","2019-07-22T07:54:06.589Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#12","włosy"
"77","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #16","975","2019-07-22T07:54:06.597Z","2019-07-22T07:54:06.597Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#16","włosy"
"78","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #18","1525","2019-07-22T07:54:06.605Z","2019-07-22T07:54:06.605Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#18","włosy"
"79","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #20","2175","2019-07-22T07:54:06.613Z","2019-07-22T07:54:06.613Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#20","włosy"
"80","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #22","650","2019-07-22T07:54:06.622Z","2019-07-22T07:54:06.622Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#22","włosy"
"81","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #24","500","2019-07-22T07:54:06.630Z","2019-07-22T07:54:06.630Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#24","włosy"
"82","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #27","1450","2019-07-22T07:54:06.639Z","2019-07-22T07:54:06.639Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#27","włosy"
"83","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #613","25","2019-07-22T07:54:06.647Z","2019-07-22T07:54:06.647Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#613","włosy"
"84","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #30","300","2019-07-22T07:54:06.656Z","2019-07-22T07:54:06.656Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#30","włosy"
"85","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #33","275","2019-07-22T07:54:06.663Z","2019-07-22T07:54:06.663Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#33","włosy"
"86","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #130","500","2019-07-22T07:54:06.672Z","2019-07-22T07:54:06.672Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#130","włosy"
"87","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #60","2075","2019-07-22T07:54:06.680Z","2019-07-22T07:54:06.680Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#60","włosy"
"88","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #PM","2800","2019-07-22T07:54:06.689Z","2019-07-22T07:54:06.689Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#PM","włosy"
"89","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #PB","2125","2019-07-22T07:54:06.697Z","2019-07-22T07:54:06.697Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#PB","włosy"
"90","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #1","2700","2019-07-22T07:54:06.705Z","2019-07-22T07:54:06.705Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#1","włosy"
"91","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #1b","1200","2019-07-22T07:54:06.714Z","2019-07-22T07:54:06.714Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#1b","włosy"
"92","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #2","0","2019-07-22T07:54:06.722Z","2019-07-22T07:54:06.722Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#2","włosy"
"93","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #4","525","2019-07-22T07:54:06.730Z","2019-07-22T07:54:06.730Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#4","włosy"
"94","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #6","125","2019-07-22T07:54:06.738Z","2019-07-22T07:54:06.738Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#6","włosy"
"95","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #8","1600","2019-07-22T07:54:06.747Z","2019-07-22T07:54:06.747Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#8","włosy"
"96","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #10","425","2019-07-22T07:54:06.755Z","2019-07-22T07:54:06.755Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#10","włosy"
"97","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #12","400","2019-07-22T07:54:06.763Z","2019-07-22T07:54:06.763Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#12","włosy"
"98","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #16","0","2019-07-22T07:54:06.772Z","2019-07-22T07:54:06.772Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#16","włosy"
"99","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #18","975","2019-07-22T07:54:06.780Z","2019-07-22T07:54:06.780Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#18","włosy"
"100","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #20","400","2019-07-22T07:54:06.788Z","2019-07-22T07:54:06.788Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#20","włosy"
"101","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #18/22","825","2019-07-22T07:54:06.796Z","2019-07-22T07:54:06.796Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#18/22","włosy"
"102","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #22","750","2019-07-22T07:54:06.805Z","2019-07-22T07:54:06.805Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#22","włosy"
"103","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #24","1375","2019-07-22T07:54:06.813Z","2019-07-22T07:54:06.813Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#24","włosy"
"104","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #27","125","2019-07-22T07:54:06.821Z","2019-07-22T07:54:06.821Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#27","włosy"
"105","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #613","900","2019-07-22T07:54:06.830Z","2019-07-22T07:54:06.830Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#613","włosy"
"106","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #30","475","2019-07-22T07:54:06.839Z","2019-07-22T07:54:06.839Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#30","włosy"
"107","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #33","250","2019-07-22T07:54:06.847Z","2019-07-22T07:54:06.847Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#33","włosy"
"108","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #130","175","2019-07-22T07:54:06.854Z","2019-07-22T07:54:06.854Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#130","włosy"
