id,name,content,qty,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
2691,Włosy indyjskie czarne 57  cm 30 g,"IND01, Włosy indyjskie czarne 57  cm 30 g",1,,240.000000,IND01,,,,,,włosy
2692,Włosy indyjskie czarne 55  cm 38 g,"IND02, Włosy indyjskie czarne 55  cm 38 g",1,,310.000000,IND02,,,,,,włosy
2693,Włosy indyjskie czarne 55  cm 108 g,"IND03, Włosy indyjskie czarne 55  cm 108 g",1,,869.999999,IND03,,,,,,włosy
2694,Włosy indyjskie czarne 59  cm 94 g,"IND05, Włosy indyjskie czarne 59  cm 94 g",1,,750.000000,IND05,,,,,,włosy
2695,Włosy indyjskie czarne 59  cm 94 g,"IND06, Włosy indyjskie czarne 59  cm 94 g",1,,750.000000,IND06,,,,,,włosy
2696,Włosy indyjskie czarne 50-55  cm 44 g,"IND07, Włosy indyjskie czarne 50-55  cm 44 g",1,,350.000000,IND07,,,,,,włosy
2697,Włosy indyjskie czarne 55  cm 28 g,"IND09, Włosy indyjskie czarne 55  cm 28 g",1,,230.000000,IND09,,,,,,włosy
2698,Włosy indyjskie czarne 53  cm 105 g,"IND10, Włosy indyjskie czarne 53  cm 105 g",1,,840.000000,IND10,,,,,,włosy
2699,Włosy indyjskie czarne 59  cm 94 g,"IND12, Włosy indyjskie czarne 59  cm 94 g",1,,750.000000,IND12,,,,,,włosy
2700,Włosy indyjskie czarne 55  cm 38 g,"IND13, Włosy indyjskie czarne 55  cm 38 g",1,,310.000000,IND13,,,,,,włosy
2701,Włosy indyjskie czarne 59  cm 66 g,"IND14, Włosy indyjskie czarne 59  cm 66 g",1,,530.000000,IND14,,,,,,włosy
2702,Włosy indyjskie czarne 60  cm 93 g,"IND16, Włosy indyjskie czarne 60  cm 93 g",1,,750.000000,IND16,,,,,,włosy
2703,Włosy indyjskie czarne 57  cm 33 g,"IND17, Włosy indyjskie czarne 57  cm 33 g",1,,270.000000,IND17,,,,,,włosy
2704,Włosy indyjskie platynowe 40 cm 29g,"IND18, Włosy indyjskie platynowe 40 cm 29g",1,,140.000000,IND18,,,,,,włosy
2705,Włosy indyjskie platynowe 41 cm 34g,"IND19, Włosy indyjskie platynowe 41 cm 34g",1,,165.000000,IND19,,,,,,włosy
2706,Włosy indyjskie platynowe 41 cm 31g,"IND20, Włosy indyjskie platynowe 41 cm 31g",1,,150.000000,IND20,,,,,,włosy
2707,Włosy indyjskie platynowe 41 cm 32g,"IND21, Włosy indyjskie platynowe 41 cm 32g",1,,155.000000,IND21,,,,,,włosy
2708,Włosy indyjskie platynowe 41 cm 30g,"IND22, Włosy indyjskie platynowe 41 cm 30g",1,,150.000000,IND22,,,,,,włosy
2709,Włosy indyjskie platynowe 41 cm 30g,"IND23, Włosy indyjskie platynowe 41 cm 30g",1,,150.000000,IND23,,,,,,włosy
