id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #1",21,,,499.99,,,45,1.8,proste podatne,#1,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 45, #1",5,,,499.99,,,45,1.8,falowane,#1,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #1b",20,,,499.99,,,45,1.8,proste podatne,#1b,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 45, #1b",8,,,499.99,,,45,1.8,falowane,#1b,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #2",3,,,499.99,,,45,1.8,proste podatne,#2,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #4",13,,,499.99,,,45,1.8,proste podatne,#4,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #6",21,,,499.99,,,45,1.8,proste podatne,#6,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #8",4,,,499.99,,,45,1.8,proste podatne,#8,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #10",8,,,499.99,,,45,1.8,proste podatne,#10,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #12",16,,,499.99,,,45,1.8,proste podatne,#12,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #16",34,,,499.99,,,45,1.8,proste podatne,#16,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #18",21,,,499.99,,,45,1.8,proste podatne,#18,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #20",15,,,499.99,,,45,1.8,proste podatne,#20,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #18/22",9,,,499.99,,,45,1.8,proste podatne,#18/22,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #22",36,,,499.99,,,45,1.8,proste podatne,#22,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #24",24,,,499.99,,,45,1.8,proste podatne,#24,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #27",12,,,499.99,,,45,1.8,proste podatne,#27,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #613",0,,,499.99,,,45,1.8,proste podatne,#613,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #30",7,,,499.99,,,45,1.8,proste podatne,#30,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #33",0,,,499.99,,,45,1.8,proste podatne,#33,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #130",3,,,499.99,,,45,1.8,proste podatne,#130,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #60",15,,,499.99,,,45,1.8,proste podatne,#60,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #PM",2,,,499.99,,,45,1.8,proste podatne,#PM,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach, 45, #PB",20,,,499.99,,,45,1.8,proste podatne,#PB,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #1",19,,,569,,,51,1.8,falowane,#1,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #1b",7,,,569,,,51,1.8,falowane,#1b,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #2",5,,,569,,,51,1.8,falowane,#2,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #4",12,,,569,,,51,1.8,falowane,#4,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #6",6,,,569,,,51,1.8,falowane,#6,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #8",10,,,569,,,51,1.8,falowane,#8,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #10",12,,,569,,,51,1.8,falowane,#10,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #12",4,,,569,,,51,1.8,falowane,#12,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #16",14,,,569,,,51,1.8,falowane,#16,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #18",5,,,569,,,51,1.8,falowane,#18,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #20",5,,,569,,,51,1.8,falowane,#20,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #18/22",10,,,569,,,51,1.8,falowane,#18/22,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #22",12,,,569,,,51,1.8,falowane,#22,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #24",9,,,569,,,51,1.8,falowane,#24,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #27",8,,,569,,,51,1.8,falowane,#27,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #613",15,,,569,,,51,1.8,falowane,#613,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #30",2,,,569,,,51,1.8,falowane,#30,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #33",0,,,569,,,51,1.8,falowane,#33,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #130",6,,,569,,,51,1.8,falowane,#130,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #60",30,,,569,,,51,1.8,falowane,#60,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #PM",0,,,569,,,51,1.8,falowane,#PM,włosy
,Włosy Słowiańskie na taśmach,"Włosy Słowiańskie na taśmach falowane, 51, #PB",0,,,569,,,51,1.8,falowane,#PB,włosy
