id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #1",17,,,199,,,35,0.75,proste podatne,#1,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #1b",24,,,199,,,35,0.75,proste podatne,#1b,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #2",20,,,199,,,35,0.75,proste podatne,#2,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #4",19,,,199,,,35,0.75,proste podatne,#4,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #6",21,,,199,,,35,0.75,proste podatne,#6,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #8",10,,,199,,,35,0.75,proste podatne,#8,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #10",26,,,199,,,35,0.75,proste podatne,#10,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #12",25,,,199,,,35,0.75,proste podatne,#12,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #16",44,,,199,,,35,0.75,proste podatne,#16,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #18",22,,,199,,,35,0.75,proste podatne,#18,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #20",31,,,199,,,35,0.75,proste podatne,#20,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #18/22",3,,,199,,,35,0.75,proste podatne,#18/22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #22",51,,,199,,,35,0.75,proste podatne,#22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #24",11,,,199,,,35,0.75,proste podatne,#24,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #27",0,,,199,,,35,0.75,proste podatne,#27,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #613",11,,,199,,,35,0.75,proste podatne,#613,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #30",0,,,199,,,35,0.75,proste podatne,#30,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #33",0,,,199,,,35,0.75,proste podatne,#33,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #130",0,,,199,,,35,0.75,proste podatne,#130,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #60",47,,,199,,,35,0.75,proste podatne,#60,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #PM",20,,,199,,,35,0.75,proste podatne,#PM,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 35, #PB",28,,,199,,,35,0.75,proste podatne,#PB,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #1",35,,,299,,,45,1,proste podatne,#1,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #1b",31,,,299,,,45,1,proste podatne,#1b,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #2",22,,,299,,,45,1,proste podatne,#2,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #4",8,,,299,,,45,1,proste podatne,#4,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #6",23,,,299,,,45,1,proste podatne,#6,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #8",25,,,299,,,45,1,proste podatne,#8,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #10",18,,,299,,,45,1,proste podatne,#10,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #12",20,,,299,,,45,1,proste podatne,#12,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #16",13,,,299,,,45,1,proste podatne,#16,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #18",35,,,299,,,45,1,proste podatne,#18,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #20",38,,,299,,,45,1,proste podatne,#20,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #18/22",14,,,299,,,45,1,proste podatne,#18/22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #22",28,,,299,,,45,1,proste podatne,#22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #24",14,,,299,,,45,1,proste podatne,#24,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #27",0,,,299,,,45,1,proste podatne,#27,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #613",38,,,299,,,45,1,proste podatne,#613,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #30",0,,,299,,,45,1,proste podatne,#30,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #33",0,,,299,,,45,1,proste podatne,#33,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #130",0,,,299,,,45,1,proste podatne,#130,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #60",13,,,299,,,45,1,proste podatne,#60,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #PM",20,,,299,,,45,1,proste podatne,#PM,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 45, #PB",20,,,299,,,45,1,proste podatne,#PB,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #1",32,,,399,,,55,1.25,proste podatne,#1,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #1b",35,,,399,,,55,1.25,proste podatne,#1b,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #2",8,,,399,,,55,1.25,proste podatne,#2,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #4",8,,,399,,,55,1.25,proste podatne,#4,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #6",12,,,399,,,55,1.25,proste podatne,#6,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #8",17,,,399,,,55,1.25,proste podatne,#8,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #10",9,,,399,,,55,1.25,proste podatne,#10,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #12",10,,,399,,,55,1.25,proste podatne,#12,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #16",18,,,399,,,55,1.25,proste podatne,#16,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #18",35,,,399,,,55,1.25,proste podatne,#18,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #20",34,,,399,,,55,1.25,proste podatne,#20,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #18/22",13,,,399,,,55,1.25,proste podatne,#18/22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #22",38,,,399,,,55,1.25,proste podatne,#22,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #24",16,,,399,,,55,1.25,proste podatne,#24,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #27",0,,,399,,,55,1.25,proste podatne,#27,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #613",11,,,399,,,55,1.25,proste podatne,#613,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #30",0,,,399,,,55,1.25,proste podatne,#30,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #33",0,,,399,,,55,1.25,proste podatne,#33,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #130",0,,,399,,,55,1.25,proste podatne,#130,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #60",10,,,399,,,55,1.25,proste podatne,#60,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #PM",29,,,399,,,55,1.25,proste podatne,#PM,włosy
,Włosy Słowiańskie na taśmach mikro,"Włosy Słowiańskie na taśmach mikro, 55, #PB",30,,,399,,,55,1.25,proste podatne,#PB,włosy
