id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Zgrzewarka do keratyny,Zgrzewarka do keratyny – biała,6,,,"80,49",,,,,,biała,urządzenia
,Zgrzewarka do keratyny,Zgrzewarka do keratyny – kolorowa,4,,,"161,79",,,,,,kolorowa,urządzenia
,Wkład do Laser Extend,Wkład do Laser Extend,46,,,199,,,,,,,urządzenia
,Ultradźwięki Basic,Ultradźwięki Basic,8,,,1299,,,,,,,urządzenia
,Ultradźwięki Premium,Ultradźwięki Premium,1,,,3975,,,,,,,urządzenia
,Ultradźwięki Premium Plus,Ultradźwięki Premium Plus,4,,,6450,,,,,,,urządzenia
,Bezprzewodowa Mini Prostownica,Bezprzewodowa Mini Prostownica,7,,,"203,24",,,,,,,urządzenia
,Ceramiczna Mini Prostownica,Ceramiczna Mini Prostownica,1,,,"40,64",,,,,,,urządzenia
,Laserowa Szczotka do włosów,Laserowa Szczotka do włosów,1,,,"723,59",,,,,,,urządzenia
,Infralight,Infralight,0,,,12000,,,,,,,urządzenia
,Laser Extend,Laser Extend,35,,,6450,,,,,,,urządzenia
,Balmain Quick Remover,Balmain Quick Remover,1,,,1335,,,,,,,urządzenia
,Plug & Play Zgrzewarka Balmain,Plug & Play Zgrzewarka Balmain,1,,,"569,99",,,,,,,urządzenia
