id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #1",675,,,4.46,,,40,0.5,proste podatne,#1,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #1b",200,,,4.46,,,40,0.5,proste podatne,#1b,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #2",4175,,,4.46,,,40,0.5,proste podatne,#2,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 45, #2",50,,,4.46,,,45,0.5,proste podatne,#2,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #4",975,,,4.46,,,40,0.5,proste podatne,#4,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #6",0,,,4.46,,,40,0.5,proste podatne,#6,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #8",2275,,,4.46,,,40,0.5,proste podatne,#8,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #10",100,,,4.46,,,40,0.5,proste podatne,#10,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #12",425,,,4.46,,,40,0.5,proste podatne,#12,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #16",975,,,4.46,,,40,0.5,proste podatne,#16,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #18",1525,,,4.46,,,40,0.5,proste podatne,#18,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #20",2175,,,4.46,,,40,0.5,proste podatne,#20,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #22",650,,,4.46,,,40,0.5,proste podatne,#22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #24",500,,,4.46,,,40,0.5,proste podatne,#24,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #27",1450,,,4.46,,,40,0.5,proste podatne,#27,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #613",25,,,4.46,,,40,0.5,proste podatne,#613,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #30",300,,,4.46,,,40,0.5,proste podatne,#30,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #33",275,,,4.46,,,40,0.5,proste podatne,#33,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #130",500,,,4.46,,,40,0.5,proste podatne,#130,włosy
