id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #1",750,,,4.46,,,40,0.5,proste podatne,#1,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #1b",1500,,,4.46,,,40,0.5,proste podatne,#1b,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #2",1050,,,4.46,,,40,0.5,proste podatne,#2,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #4",1325,,,4.46,,,40,0.5,proste podatne,#4,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #6",200,,,4.46,,,40,0.5,proste podatne,#6,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #8",1250,,,4.46,,,40,0.5,proste podatne,#8,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #10",450,,,4.46,,,40,0.5,proste podatne,#10,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #12",1000,,,4.46,,,40,0.5,proste podatne,#12,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #16",1675,,,4.46,,,40,0.5,proste podatne,#16,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #18",550,,,4.46,,,40,0.5,proste podatne,#18,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #20",875,,,4.46,,,40,0.5,proste podatne,#20,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #22",100,,,4.46,,,40,0.5,proste podatne,#22,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #24",950,,,4.46,,,40,0.5,proste podatne,#24,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #27",600,,,4.46,,,40,0.5,proste podatne,#27,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #613",75,,,4.46,,,40,0.5,proste podatne,#613,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #30",550,,,4.46,,,40,0.5,proste podatne,#30,włosy
