id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
1,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #1",0,,,4.46,,,40,0.5,proste podatne,#1,0
2,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #1b",0,,,4.46,,,40,0.5,proste podatne,#1b,0
3,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #2",0,,,4.46,,,40,0.5,proste podatne,#2,0
4,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #4",0,,,4.46,,,40,0.5,proste podatne,#4,0
5,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #6",0,,,4.46,,,40,0.5,proste podatne,#6,0
6,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #8",0,,,4.46,,,40,0.5,proste podatne,#8,0
7,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #10",0,,,4.46,,,40,0.5,proste podatne,#10,0
8,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #12",0,,,4.46,,,40,0.5,proste podatne,#12,0
9,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #16",0,,,4.46,,,40,0.5,proste podatne,#16,0
10,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #18",0,,,4.46,,,40,0.5,proste podatne,#18,0
11,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #20",0,,,4.46,,,40,0.5,proste podatne,#20,0
12,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #18/22",0,,,4.46,,,40,0.5,proste podatne,#18/22,0
13,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #22",0,,,4.46,,,40,0.5,proste podatne,#22,0
14,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #24",0,,,4.46,,,40,0.5,proste podatne,#24,0
15,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #27",0,,,4.46,,,40,0.5,proste podatne,#27,0
16,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #613",0,,,4.46,,,40,0.5,proste podatne,#613,0
17,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #30",0,,,4.46,,,40,0.5,proste podatne,#30,0
18,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #33",0,,,4.46,,,40,0.5,proste podatne,#33,0
19,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #130",0,,,4.46,,,40,0.5,proste podatne,#130,0
20,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #60",0,,,4.46,,,40,0.5,proste podatne,#60,0
21,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #PM",0,,,4.46,,,40,0.5,proste podatne,#PM,0
22,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 40, #PB",0,,,4.46,,,40,0.5,proste podatne,#PB,0
23,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #1",0,,,5.68,,,51,0.7,proste podatne,#1,0
24,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #1b",0,,,5.68,,,51,0.7,proste podatne,#1b,0
25,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #2",0,,,5.68,,,51,0.7,proste podatne,#2,0
26,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #4",0,,,5.68,,,51,0.7,proste podatne,#4,0
27,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #6",0,,,5.68,,,51,0.7,proste podatne,#6,0
28,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #8",0,,,5.68,,,51,0.7,proste podatne,#8,0
29,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #10",0,,,5.68,,,51,0.7,proste podatne,#10,0
30,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #12",0,,,5.68,,,51,0.7,proste podatne,#12,0
31,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #16",0,,,5.68,,,51,0.7,proste podatne,#16,0
32,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #18",0,,,5.68,,,51,0.7,proste podatne,#18,0
33,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #20",0,,,5.68,,,51,0.7,proste podatne,#20,0
34,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #18/22",0,,,5.68,,,51,0.7,proste podatne,#18/22,0
35,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #22",0,,,5.68,,,51,0.7,proste podatne,#22,0
36,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #24",0,,,5.68,,,51,0.7,proste podatne,#24,0
37,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #27",0,,,5.68,,,51,0.7,proste podatne,#27,0
38,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #613",0,,,5.68,,,51,0.7,proste podatne,#613,0
39,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #30",0,,,5.68,,,51,0.7,proste podatne,#30,0
40,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #33",0,,,5.68,,,51,0.7,proste podatne,#33,0
41,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #130",0,,,5.68,,,51,0.7,proste podatne,#130,0
42,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #60",0,,,5.68,,,51,0.7,proste podatne,#60,0
43,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #PM",0,,,5.68,,,51,0.7,proste podatne,#PM,0
44,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #PB",0,,,5.68,,,51,0.7,proste podatne,#PB,0
45,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #1",0,,,7.31,,,61,0.8,proste podatne,#1,0
46,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #1b",0,,,7.31,,,61,0.8,proste podatne,#1b,0
47,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #2",0,,,7.31,,,61,0.8,proste podatne,#2,0
48,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #4",0,,,7.31,,,61,0.8,proste podatne,#4,0
