id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
67,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #1",0,,,4.46,,,40,0.5,proste podatne,#1,0
68,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #1b",0,,,4.46,,,40,0.5,proste podatne,#1b,0
69,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #2",0,,,4.46,,,40,0.5,proste podatne,#2,0
70,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #4",0,,,4.46,,,40,0.5,proste podatne,#4,0
71,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #6",0,,,4.46,,,40,0.5,proste podatne,#6,0
72,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #8",0,,,4.46,,,40,0.5,proste podatne,#8,0
73,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #10",0,,,4.46,,,40,0.5,proste podatne,#10,0
74,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #12",0,,,4.46,,,40,0.5,proste podatne,#12,0
75,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #16",0,,,4.46,,,40,0.5,proste podatne,#16,0
76,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #18",0,,,4.46,,,40,0.5,proste podatne,#18,0
77,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #20",0,,,4.46,,,40,0.5,proste podatne,#20,0
78,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #18/22",0,,,4.46,,,40,0.5,proste podatne,#18/22,0
79,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 40, #22",0,,,4.46,,,40,0.5,proste podatne,#22,0
